metric_time,backlog_40_00_1_s3,t1_40_00_1_s3,t2_40_00_1_s3,acceleration_40_00_1_s3,backlog_40_00_5_s3,t1_40_00_5_s3,t2_40_00_5_s3,acceleration_40_00_5_s3,backlog_40_10_1_metadata,t1_40_10_1_metadata,t2_40_10_1_metadata,acceleration_40_10_1_metadata,backlog_40_10_5_metadata,t1_40_10_5_metadata,t2_40_10_5_metadata,acceleration_40_10_5_metadata,backlog_40_12_1_s3,t1_40_12_1_s3,t2_40_12_1_s3,acceleration_40_12_1_s3,backlog_40_12_5_s3,t1_40_12_5_s3,t2_40_12_5_s3,acceleration_40_12_5_s3,backlog_40_14_5_adding,t1_40_14_5_adding,t2_40_14_5_adding,acceleration_40_14_5_adding,backlog_40_20_1_file,t1_40_20_1_file,t2_40_20_1_file,acceleration_40_20_1_file,backlog_40_20_5_file,t1_40_20_5_file,t2_40_20_5_file,acceleration_40_20_5_file,backlog_40_30_1_s3,t1_40_30_1_s3,t2_40_30_1_s3,acceleration_40_30_1_s3,backlog_40_30_5_s3,t1_40_30_5_s3,t2_40_30_5_s3,acceleration_40_30_5_s3,metadatagenerationcpu,metadatagenerationdisk,metadatagenerationmemory
7/22/18 17:30,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,4,9.241615088,17.9772026
7/22/18 17:35,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,9.241630661,17.97733954
7/22/18 17:40,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,9.241646233,17.97614443
7/22/18 17:45,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,9.241661805,17.97650545
7/22/18 17:50,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,9.241685164,17.97726484
7/22/18 17:55,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,9.241700737,17.97684158
7/22/18 18:00,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,4,9.242035544,17.98566793
7/22/18 18:05,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,9.242051117,17.98607875
7/22/18 18:10,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,9.242082262,17.98526957
7/22/18 18:15,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,9.242090048,17.98474671
7/22/18 18:20,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,9.242105621,17.98502059
7/22/18 18:25,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,9.242128979,17.98422385
7/22/18 18:30,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,4,9.242471573,17.9847716
